Province,City,Number,Lng,Lat
广西壮族自治区,Guigang,41,109.613708,23.103373
云南省,Dai Autonomous Region,14,98.589434,24.44124
广西壮族自治区,Qinzhou,45,108.638798,21.97335
山西省,Yizhou,50,112.727939,38.461031
江西省,Xinyu,51,114.947117,27.822322
广西壮族自治区,Hezhou,21,111.552594,24.411054
河南省,,25,112.40383,35.093893
新疆维吾尔自治区,Kelamayi,58,84.92699,45.20392
内蒙古自治区,Wulanchabu,25,113.112846,41.022363
黑龙江省,Mudanjiang,83,129.608035,44.588521
河北省,Baoding,1,115.999054,39.482482
四川省,Deyang,130,104.402398,31.13114
甘肃省,Qingyang,22,107.644227,35.726801
辽宁省,Liaoyang,1,123.312574,41.420099
云南省,Yuxi,65,102.545068,24.370447
湖北省,,18,112.768768,30.343116
吉林省,Liaoyuan,26,125.133686,42.923303
青海省,Zang Autonomous Region,10,100.223723,34.480485
贵州省,Tong Autonomous Region,7,107.948239,26.631742
湖北省,Xingzhou,1,113.538915,29.996772
江西省,Jingdezhen,2,117.1862,29.272155
云南省,Baoshan,33,99.177996,25.120489
湖北省,Weining,44,114.300061,29.880657
湖北省,,17,113.387448,30.293966
甘肃省,Baiyin,24,104.171241,36.546682
甘肃省,Zang Autonomous Region,4,102.917442,34.992211
云南省,Pu'er,29,100.980058,22.788778
海南省,,3,110.32009,19.490991
北京市,Beijing,25,116.307381,40.030318
江苏省,Wuxi,17,120.310679,31.837425
西藏自治区,Shannan,9,92.220873,28.354982
陕西省,Shangluo,25,109.934208,33.873907
西藏自治区,Linzhi,26,95.466234,29.12808
海南省,,5,109.51775,18.831306
河南省,Sanmenxia,1,110.779737,34.437104
湖北省,,12,113.12623,30.649047
海南省,,2,109.948661,18.575985
内蒙古自治区,Wuhai,35,106.831999,39.683177
黑龙江省,Shuangyashan,24,131.171402,46.655102
新疆维吾尔自治区,Hami,19,93.529373,42.344467
新疆维吾尔自治区,Aletai,17,87.926214,47.890137
江苏省,Wuxi,31,119.790265,31.362245
甘肃省,Jiayuguan,16,98.281635,39.802397
湖北省,,12,110.487231,31.595768
黑龙江省,Suihua,24,126.989095,46.646064
江苏省,Suzhou,49,120.831486,31.669446
黑龙江省,Qihetai,7,131.019048,45.775004
甘肃省,Dingxi,15,104.626638,35.586056
湖南省,Miao Autonomous Region,6,109.770926,28.317143
浙江省,Jiaqing,4,120.618727,30.442177
山东省,Qingdao,2,120.521106,36.487909
青海省,Zang Autonomous Region,10,97.342625,37.373799
浙江省,Ningbo,5,121.338408,30.189257
广西壮族自治区,Laibin,16,109.231817,23.741166
青海省,Zang Autonomous Region,4,100.879802,36.960654
新疆维吾尔自治区,Hetian,7,79.915814,37.15335
海南省,,3,109.996736,19.693135
海南省,,1,109.861849,19.039771
河南省,Xuchang,1,113.855568,34.236601
北京市,Beijing,4,116.478394,40.026115
四川省,Qiang Autonomous Region,10,102.228565,31.905763
四川省,Nanchong,1,106.078093,31.602117
新疆维吾尔自治区,Tulufan,5,89.266025,42.678925
浙江省,Taizhou,1,121.421046,28.400554
吉林省,Changchun,11,125.291098,43.915305
